# guk-exim
# path                  cores messages/sec/core real    user/message sys/message idle/message 
named/guk-exim/cores-1  1     611.846           15.0054 0.000443307  0.00119159  0            
named/guk-exim/cores-4  4     459.223           15.0036 0.000487663  0.00169013  0            
named/guk-exim/cores-8  8     421.696           15.0031 0.000519422  0.00185225  0            
named/guk-exim/cores-12 12    396.781           15.0026 0.000493189  0.00202693  0            
named/guk-exim/cores-16 16    385.674           15.0023 0.000494837  0.00209784  0            
named/guk-exim/cores-20 20    376.174           15.0029 0.00050109   0.00215692  0            
named/guk-exim/cores-24 24    364.419           15.0038 0.000504405  0.00223991  0            
named/guk-exim/cores-28 28    350.673           15.0028 0.000499423  0.00235245  0            
named/guk-exim/cores-32 32    338.258           15.0037 0.000519753  0.00243682  6.15748e-08  
named/guk-exim/cores-36 36    320.026           15.0038 0.000527774  0.00259676  3.47106e-07  
named/guk-exim/cores-40 40    303.603           15.0042 0.000534155  0.00275875  1.09762e-06  
named/guk-exim/cores-44 44    292.816           15.004  0.000548652  0.00286473  1.96575e-06  
named/guk-exim/cores-48 48    274.529           15.0105 0.00055339   0.00308328  5.86454e-06  


# guk-gmake
# path                   cores builds/sec/core real    user/build sys/build idle/build 
named/guk-gmake/cores-1  1     0.00162715      614.572 562.39     52.22     0          
named/guk-gmake/cores-4  4     0.00153836      162.511 585.55     57.82     6.63       
named/guk-gmake/cores-8  8     0.00148714      84.0542 592.37     63.19     17.58      
named/guk-gmake/cores-12 12    0.00143991      57.8741 598.11     66.48     32         
named/guk-gmake/cores-16 16    0.00141282      44.2378 597.37     66.17     47.78      
named/guk-gmake/cores-20 20    0.00136509      36.6277 598.42     66.57     67.52      
named/guk-gmake/cores-24 24    0.00137093      30.3929 603.64     68.13     52.08      
named/guk-gmake/cores-28 28    0.00134338      26.5853 603.89     68.81     61.31      
named/guk-gmake/cores-32 32    0.00132461      23.5919 606.57     68.53     83.78      
named/guk-gmake/cores-36 36    0.00128438      21.6273 609.65     69.27     103.66     
named/guk-gmake/cores-40 40    0.00127524      19.6042 611.84     69.77     108.69     
named/guk-gmake/cores-44 44    0.00124629      18.2359 613.48     70.29     120.59     
named/guk-gmake/cores-48 48    0.00121118      17.2009 615.29     70.87     129.26     


# guk-metis/model-default
# path                                 cores jobs/sec/core real    user/job sys/job idle/job 
named/guk-metis/model-default/cores-1  1     0.00718954    139.091 134.26   4.84    0        
named/guk-metis/model-default/cores-4  4     0.00714807    34.9745 134.98   4.85    1.7      
named/guk-metis/model-default/cores-8  8     0.0071365     17.5156 135.05   4.82    4.13     
named/guk-metis/model-default/cores-12 12    0.00675814    12.3308 140.97   6.44    5.02     
named/guk-metis/model-default/cores-16 16    0.00683445    9.14485 138.72   6.64    8.13     
named/guk-metis/model-default/cores-20 20    0.00653103    7.65576 143.55   8.07    8.95     
named/guk-metis/model-default/cores-24 24    0.00630377    6.6098  145.7    10.85   15.13    
named/guk-metis/model-default/cores-28 28    0.0057533     6.20762 157.25   13.44   17.08    
named/guk-metis/model-default/cores-32 32    0.00589385    5.30214 151.33   14.65   22.83    
named/guk-metis/model-default/cores-36 36    0.00571783    4.8581  153.98   16.4    26.98    
