core_mark_id,processor_id,score,threads,thread_model,date,link
1,17,5877.32,1,,2011-03-19,http://www.coremark.org/benchmark/index.php
2,27,15500.59,2,PThreads,2011-02-21,http://www.coremark.org/benchmark/index.php
3,64,288.0,1,,2010-11-08,http://www.coremark.org/benchmark/index.php
4,32,10236.99,1,,2010-10-19,http://www.coremark.org/benchmark/index.php
5,80,13713.14,2,PThreads,2010-05-13,http://www.coremark.org/benchmark/index.php
6,1,24.27,1,,,http://www.coremark.org/benchmark/index.php
7,1,10.0,1,,2009-10-14,http://www.coremark.org/benchmark/index.php
8,58,214.96,1,,2009-10-14,http://www.coremark.org/benchmark/index.php
9,64,1226.84,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
10,127,6381.25,1,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
11,127,24828.46,4,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
12,127,19143.75,3,Pthreads,2009-07-13,http://www.coremark.org/benchmark/index.php
13,127,12774.06,2,Pthreads,2009-07-13,http://www.coremark.org/benchmark/index.php
14,43,5521.76,1,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
15,43,13431.01,2,Pthreads,,http://www.coremark.org/benchmark/index.php
16,43,13482.38,3,Pthreads,2009-07-13,http://www.coremark.org/benchmark/index.php
17,43,13482.38,4,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
18,31,3993.93,1,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
19,31,8771.16,2,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
20,31,8918.62,4,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
21,230,4339.34,1,,2010-07-12,http://www.coremark.org/benchmark/index.php
22,230,16619.35,4,Fork,2010-07-12,http://www.coremark.org/benchmark/index.php
23,230,21457.31,8,Fork,2010-07-12,http://www.coremark.org/benchmark/index.php
24,225,2828.45,1,,2010-04-12,http://www.coremark.org/benchmark/index.php
25,225,11030.68,4,Fork,2010-04-12,http://www.coremark.org/benchmark/index.php
26,220,1309.07,1,,2010-04-12,http://www.coremark.org/benchmark/index.php
27,219,1363.42,1,,2010-03-09,http://www.coremark.org/benchmark/index.php
28,219,10091.45,8,Fork,2010-03-09,http://www.coremark.org/benchmark/index.php
29,219,5534.03,4,Fork,2010-03-09,http://www.coremark.org/benchmark/index.php
30,219,1140.9,1,,2010-03-08,http://www.coremark.org/benchmark/index.php
31,271,1051.03,1,,2010-10-20,http://www.coremark.org/benchmark/index.php
32,384,3367.6,1,,2011-05-03,http://www.coremark.org/benchmark/index.php
33,384,6543.8,2,PThreads,2011-05-03,http://www.coremark.org/benchmark/index.php
34,363,9049.77,4,PThreads,2011-04-08,http://www.coremark.org/benchmark/index.php
35,363,8942.04,4,Fork,2011-04-08,http://www.coremark.org/benchmark/index.php
36,448,19543.4,4,PThreads,2011-04-05,http://www.coremark.org/benchmark/index.php
37,366,3581.88,2,PThreads,2011-04-05,http://www.coremark.org/benchmark/index.php
38,453,21864.0,4,PThreads,2011-03-26,http://www.coremark.org/benchmark/index.php
39,464,51895.82,8,PThreads,2011-03-24,http://www.coremark.org/benchmark/index.php
40,370,3192.17,2,PThreads,2011-03-24,http://www.coremark.org/benchmark/index.php
41,425,36553.96,4,PThreads,2011-03-22,http://www.coremark.org/benchmark/index.php
42,474,99562.34,16,Pthreads,2011-03-12,http://www.coremark.org/benchmark/index.php
43,584,3034.0,1,,2011-03-11,http://www.coremark.org/benchmark/index.php
44,403,20628.0,2,PThreads,2011-03-11,http://www.coremark.org/benchmark/index.php
45,363,9106.94,4,Fork,2011-03-09,http://www.coremark.org/benchmark/index.php
46,583,4213.78,1,,2011-02-22,http://www.coremark.org/benchmark/index.php
47,447,19547.73,4,PThreads,2011-02-21,http://www.coremark.org/benchmark/index.php
