microarchitecture_id,manufacturer_id,name,isa,isa_version,isa_extensions,fp_pipestages,int_pipestages,max_uop_issued_per_cycle,ifu,lsfu,fpfu,tfu,max_inst_decoded,rob_size,iwindow,if_queue,bht_size,btb_size,bp_acc,arch_int_reg,arch_fp_reg,total_arch_reg,fp_coproc,out_of_order,memory_bw,integrated_mc,source
1,1,K10,x86-64,,SSE4a,17,12,9,5,3,3,11,3,72,42,,16384,2048,,96,96,96,,true,,true,
2,1,K5,x86-32,,,,5,4,2,2,1,6,4,16,11,,1024,,,,,,,true,,false,
3,1,K6,x86-32,,MMX 3D-Now,2,6,6,4,2,3,10,2,,24,,8192,16,0,,,,,false,,false,
4,1,K6-2,x86-32,,MMX 3D-Now,,,,,,,,,,,,,,,,,,,false,,false,
5,1,K6-III,x86-32,,MMX 3D-Now,,,,,,,,,,,,,,,,,,,false,,false,
6,1,K7,x86-32,,SSE Subset,15,10,9,3,4,3,9,3,72,32,,4096,2048,,1600,,,,true,,false,
7,1,K8,x86-64,,SSE2,17,12,6,3,1,3,,3,72,,,16384,2048,,,,,,true,,true,http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/1
8,3,EV4,Alpha,,,10,7,2,1,1,1,3,2,,,,2048,,0,32,32,32,,false,1600,,http://www.ece.umd.edu/~blj/microarchitecture/21064.pb.pdf
9,3,EV5,Alpha,,,9,7,4,2,2,2,4,4,,,,4096,,,32,32,32,,false,1200,,http://dx.doi.org/10.1109/MWSCAS.1995.510295 http://www.cs.cmu.edu/afs/cs/academic/class/15740-f03/public/doc/alpha-21164-hw-ref-manual.pdf
10,3,EV6,Alpha,,,7,7,6,4,2,2,6,4,80,35,4,29696,4096,0,39,31,,,true,,,http://dx.doi.org/10.1109/40.755465  http://www.google.com/url?http://download.majix.org/dec/21264ev68cb_ev68dc_hrm.pdf
11,3,EV7,Alpha,,,7,7,6,4,2,2,6,4,80,35,4,29696,4096,0,39,31,,,true,,,http://dx.doi.org/10.1109/40.988687  http://doi.acm.org/10.1145/378239.379073 http://en.wikipedia.org/wiki/Alpha_21364
12,6,PA-7300LC,,,,6,6,2,2,1,1,3,2,,,,,,,,,,,false,,false,www.hpl.hp.com/hpjournal/97jun/jun97a7.pdf http://www.openpa.net/pa-risc_architecture.html www.acsel-lab.com/Presentations/ISSCC-Tutorial97.PDF
13,6,PA-8000,,,,9,7,4,4,2,4,10,4,56,56,,256,32,,,,,,true,,false,http://www.openpa.net/pa-risc_architecture.html ftp.parisc-linux.org/docs/whitepapers/PA-8700wp.pdf http://wapedia.mobi/en/PA-8000
14,6,PA-8200,,,,9,7,4,4,2,4,10,4,56,56,,1024,32,,,,,,true,,false,http://www.openpa.net/pa-risc_architecture.html ftp.parisc-linux.org/docs/whitepapers/PA-8700wp.pdf http://wapedia.mobi/en/PA-8000
15,6,PA-8500,,,,9,7,4,4,2,4,10,4,56,56,,2048,32,,,,,,true,2048,false,http://www.openpa.net/pa-risc_architecture.html ftp.parisc-linux.org/docs/whitepapers/PA-8700wp.pdf http://wapedia.mobi/en/PA-8000
16,6,PA-8600,,,,9,7,4,4,2,4,10,4,56,56,,2048,32,,,,,,true,2048,false,http://www.openpa.net/pa-risc_architecture.html ftp.parisc-linux.org/docs/whitepapers/PA-8700wp.pdf http://wapedia.mobi/en/PA-8000
17,6,PA-8700,,,,9,7,4,4,2,4,10,4,56,56,,2048,32,,,,,,true,2048,false,http://www.openpa.net/pa-risc_architecture.html ftp.parisc-linux.org/docs/whitepapers/PA-8700wp.pdf http://wapedia.mobi/en/PA-8000
18,6,PA-8700+,,,,9,7,4,4,2,4,10,4,56,56,,2048,32,,,,,,true,2048,false,http://www.openpa.net/pa-risc_architecture.html ftp.parisc-linux.org/docs/whitepapers/PA-8700wp.pdf http://wapedia.mobi/en/PA-8000
19,7,Power ISA v2.03,,,,19,14,5,2,2,2,8,8,100,48,,,,,,,,,true,,,
20,7,PowerPC v2.00,,,,,,,,,,,,,,,,,,,,,,,,,
21,7,PowerPC v2.02,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,PowerPC 601,,,,6,4,3,1,0,1,3,3,,,8,,,,,,,,,,,http://arstechnica.com/old/content/2004/08/ppc-1.ars/2
23,7,PowerPC 602,,,,6,4,1,1,1,1,5,1,4,,4,,,,,,,,true,,,
24,7,PowerPC 603e,,,,6,4,2,1,1,1,5,2,5,5,6,,,,,,,,true,,,http://arstechnica.com/old/content/2004/08/ppc-1.ars/4
25,7,PowerPC 604,,,,8,6,4,3,1,1,6,4,16,10,8,512,64,,32,32,,,true,,,http://arstechnica.com/old/content/2004/08/ppc-1.ars/6
26,7,PowerPC 620,,,,8,5,4,3,1,1,6,4,16,11,8,2048,256,,,,,,true,1000,,
27,7,PowerPC 630,,,,10,7,4,3,2,2,7,8,32,23,,2048,,,,,,,true,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5389121
28,7,PowerPC 7400,,,,6,4,2,2,1,1,4,2,8,5,6,512,64,,32,32,,,true,640,,http://arstechnica.com/old/content/2004/10/ppc-2.ars/2
29,7,PowerPC 7450,,,,11,7,3,4,1,1,6,3,16,13,12,2000,128,,32,32,,,true,640,,http://cache.freescale.com/files/product/doc/G4WP.pdf
30,7,PowerPC 7xx,,,,6,4,2,2,1,1,4,2,6,5,6,512,64,,32,32,,,true,,,http://arstechnica.com/old/content/2004/10/ppc-2.ars/1
31,9,Core:Merom,x86-64,,SSE3,,14,6,5,2,4,,5,96,32,,,,,8533,,,,true,,false,http://www.hardwaresecrets.com/article/Inside-Intel-Core-Microarchitecture/313/1
32,9,Core:Conroe,x86-64,,SSE3,,14,6,5,2,4,,5,96,32,,,,,8533,,,,true,,false,http://www.hardwaresecrets.com/article/Inside-Intel-Core-Microarchitecture/313/1
33,9,Core:Kentsfield,x86-64,,SSE3,,14,6,5,2,4,,5,96,32,,,,,8533,,,,true,,false,http://www.hardwaresecrets.com/article/Inside-Intel-Core-Microarchitecture/313/1
34,9,Core:Penryn,x86-64,,SSE4.1,,14,6,5,2,4,,5,96,32,,,,,8533,,,,true,,false,http://www.hardwaresecrets.com/article/Inside-Intel-Core-Microarchitecture/313/1
35,9,Core:Yorkfield,x86-64,,SSE4.1,,14,6,5,2,4,,5,96,32,,,,,8533,,,,true,,false,http://www.hardwaresecrets.com/article/Inside-Intel-Core-Microarchitecture/313/1
