power_id,processor_id,power,application,source
1,529,41.029847,avrora,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
2,529,47.544263,batik,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
3,529,45.536565,h2,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
4,529,44.542478,jython,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
5,529,42.122013,pmd,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
6,529,43.005276,tradebeans,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
7,529,46.211275,pjbb2005,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
8,529,48.211822,_227_mtrt,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
9,529,43.135969,fop,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
10,529,46.492601,luindex,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
11,529,46.776193,antlr,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
12,529,46.522938,bloat,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
13,529,46.902158,_201_compress,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
14,529,44.202912,_202_jess,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
15,529,46.119781,_209_db,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
16,529,42.493118,_213_javac,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
17,529,45.607492,_222_mpegaudio,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
18,529,44.385704,_228_jack,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
19,529,42.854334,eclipse,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
20,529,44.994487,lusearch,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
21,529,45.767055,sunflow,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
22,529,50.040847,tomcat,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
23,529,44.680482,xalan,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
24,529,43.254263,400.perlbench,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
25,529,41.712427,401.bzip2,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
26,529,39.413117,403.gcc,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
27,529,41.78306,429.mcf,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
28,529,39.59543,445.gobmk,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
29,529,47.929608,456.hmmer,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
30,529,41.00924,458.sjeng,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
31,529,45.479859,462.libquantum,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
32,529,43.985212,464.h264ref,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
33,529,41.126983,471.omnetpp,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
34,529,40.881745,473.astar,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
35,529,42.99892,483.xalancbmk,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
36,529,44.919581,416.gamess,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
37,529,41.822543,433.milc,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
38,529,38.905817,434.zeusmp,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
39,529,44.357851,435.gromacs,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
40,529,38.766321,436.cactusADM,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
41,529,39.955272,437.leslie3d,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
42,529,46.523324,444.namd,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
43,529,44.28798,447.dealII,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
44,529,40.088489,450.soplex,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
45,529,42.260288,453.povray,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
46,529,45.265678,454.calculix,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
47,529,40.244491,459.GemsFDTD,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
48,529,42.158324,465.tonto,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
49,529,36.310427,470.lbm,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
50,529,42.615838,482.sphinx3,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
51,529,42.393938,blackscholes,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
52,529,43.428649,bodytrack,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
53,529,43.687629,canneal,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
54,529,48.192682,facesim,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
55,529,48.094932,ferret,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
56,529,48.253346,fluidanimate,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
57,529,34.450168,raytrace,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
58,529,44.22332,streamcluster,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
59,529,48.370977,swaptions,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
60,529,39.190971,vips,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
61,529,38.34907,x264,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
62,393,25.240198,avrora,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
63,393,26.04423,batik,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
64,393,29.816521,h2,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
65,393,25.059752,jython,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
66,393,25.794398,pmd,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
67,393,24.264786,tradebeans,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
68,393,27.503543,pjbb2005,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
69,393,23.37326,_227_mtrt,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
70,393,21.417191,fop,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
71,393,27.820372,luindex,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
72,393,31.366502,antlr,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
73,393,27.416367,bloat,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
74,393,25.310141,_201_compress,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
75,393,26.639811,_202_jess,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
76,393,25.466035,_209_db,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
77,393,24.8803,_213_javac,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
78,393,29.630966,_222_mpegaudio,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
79,393,25.189488,_228_jack,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
80,393,22.813901,eclipse,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
81,393,28.114099,lusearch,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
82,393,28.854425,sunflow,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
83,393,32.288206,tomcat,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
84,393,30.193793,xalan,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
85,393,23.558019,400.perlbench,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
86,393,23.533024,401.bzip2,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
87,393,23.657438,403.gcc,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
88,393,24.643698,429.mcf,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
89,393,22.702055,445.gobmk,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
90,393,23.85953,456.hmmer,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
91,393,22.507442,458.sjeng,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
92,393,25.998386,462.libquantum,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
93,393,22.681579,464.h264ref,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
94,393,23.218173,471.omnetpp,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
95,393,23.846511,473.astar,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
96,393,24.250578,483.xalancbmk,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
97,393,23.202719,416.gamess,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
98,393,26.465758,433.milc,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
99,393,24.17816,434.zeusmp,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
100,393,24.301481,435.gromacs,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
101,393,25.272773,436.cactusADM,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
102,393,26.353879,437.leslie3d,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
103,393,24.363408,444.namd,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
104,393,23.779886,447.dealII,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
105,393,24.096292,450.soplex,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
106,393,23.031941,453.povray,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
107,393,25.979054,454.calculix,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
108,393,25.844181,459.GemsFDTD,"Looking Back on the Language and Hardware Revolution: Measured Power, Performance, and Scaling"
