processor_family_id,manufacturer_id,name
1,1,80386
2,1,80486
3,1,Athlon
4,1,Athlon 64
5,1,Athlon 64 X2
6,1,Athlon II X4
7,1,Athlon MP
8,1,Athlon X2
9,1,Athlon XP
10,1,K5
11,1,K6
12,1,K6-2
13,1,K6-III
14,1,Opteron
15,1,Phenom II X3
16,1,Phenom II X4
17,1,Phenom X3
18,1,Phenom X4
19,1,Turion 64
20,1,Turion 64 X2
21,20,Broadcom
22,2,Cypress
23,21,486DX
24,21,486SLC
25,21,5x86
26,21,6x86
27,21,Cyrix III
28,3,Alpha 21064
29,3,Alpha 21064A
30,3,Alpha 21066A
31,3,Alpha 21164
32,3,Alpha 21164A
33,3,Alpha 21164PC
34,3,Alpha 21264
35,3,Alpha 21264A
36,3,Alpha 21264B
37,3,Alpha 21264C
38,3,Alpha 21364
39,4,microSPARC II
40,4,SPARC64 GP
41,4,SPARC64 V
42,4,SPARC64 VII
43,4,TurboSPARC
44,22,SPARC64
45,22,SPARC64 II
46,5,harp-1
47,6,PA-7000
48,6,PA-7100
49,6,PA-7100LC
50,6,PA-7150
51,6,PA-7200
52,6,PA-7300LC
53,6,PA-8000
54,6,PA-8200
55,6,PA-8500
56,6,PA-8600
57,6,PA-8700
58,6,PA-8700+
59,7,Power2
60,7,Power3
61,7,Power3-II
62,7,Power4+
63,7,Power5
64,7,Power6
65,7,Power7
66,7,PowerPC 7xx
67,7,PowerPC 970
68,7,PowerPC 602
69,7,PowerPC 603
70,7,PowerPC 620
71,7,PowerPC 630
72,7,PowerPC 601
73,7,PowerPC 601v
74,7,PowerPC 603e
75,7,PowerPC 603ev
76,7,PowerPC 604
77,7,PowerPC 604e
78,7,PowerPC 604ev
79,7,RS64 IV
80,7,RS64-II
81,7,RS64-III
82,9,4004
83,9,8008
84,9,8080
85,9,8086
86,9,8088
87,9,80286
88,9,80386 DX
89,9,80486 DX
90,9,80486 DX2
91,9,80486 DX4
92,9,Atom
93,9,Celeron
94,9,Core 2 Duo
95,9,Core 2 Extreme
96,9,Core 2 Quad
97,9,Core 2 Quad Extreme
98,9,Core 2 Solo
99,9,Core Duo
100,9,Core i3
101,9,Core i5
102,9,Core i7
103,9,Itanium
104,9,Itanium 2
105,9,Pentium
106,9,Pentium 4
107,9,Pentium 4 EE
108,9,Pentium D
109,9,Pentium EE
110,9,Pentium II
111,9,Pentium III
112,9,Pentium M
113,9,Pentium MMX
114,9,Pentium Pro
115,9,Xeon
116,17,R10000
117,17,R2000
118,17,R3000
119,17,R4000
120,17,R4400
121,17,R4600
122,17,R5000
123,17,R8000
124,17,74K
125,10,6800
126,10,68000
127,10,68010
128,10,68020
129,10,68030
130,10,68040
131,10,68060
132,10,PowerPC
133,23,Nx586
134,24,hyperSPARC
135,18,R12000
136,18,R12000A
137,18,R14000
138,18,R14000A
139,19,microSPARC I
140,19,SuperSPARC I
141,19,SuperSPARC II
142,19,UltraSPARC
143,19,UltraSPARC II
144,19,UltraSPARC IIe
145,19,UltraSPARC IIi
146,19,UltraSPARC III Cu
147,19,UltraSPARC IIIi
148,19,UltraSPARC T1
149,19,UltraSPARC T2
150,25,Z80
