spec_fp1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
1,148,,Digital,AlphaStation 200 4/100,90.6,95.2,44.4,66.2,78.4,66.0,88.0,76.3,199.7,304.7,49.6,54.9,114.5,119.5,108.8,99.6,http://performance.netlib.org/performance/html/spec.dec20400.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 200 4/100 100MHz 21064}
2,149,,Digital,DEC 3000 Model 300LX,73.1,77.7,39.1,69.9,93.3,59.5,67.6,101.2,106.2,272.4,47.1,36.7,84.0,76.5,55.5,67.2,http://performance.netlib.org/performance/html/spec.dec3-3lx.cfp92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300LX 125MHz 21064}
3,151,,Digital,AlphaStation 400 4/166,134.2,139.7,64.6,106.3,127.3,100.8,103.9,125.5,313.9,488.5,81.9,65.4,156.9,183.2,145.5,155.9,http://performance.netlib.org/performance/html/spec.dec40466.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 400 4/166 166MHz 21064}
4,151,,Digital,AlphaStation 200 4/166,128.4,134.8,64.1,106.3,128.4,97.9,104.3,129.7,300.4,396.6,64.7,64.9,154.5,170.4,143.2,152.1,http://performance.netlib.org/performance/html/spec.dec4166.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/166 166MHz 21064}
5,151,,Digital,AXPpci 33,82.5,86.6,49.5,80.2,112.5,50.5,49.8,95.3,186.2,250.0,70.7,26.5,93.3,132.4,79.3,73.5,http://performance.netlib.org/performance/html/spec.decaxp.cfp92.6_95.notes.html#{Digital Equipment Corporation AXPpci 33 166MHz 21064}
6,152,,Digital,DEC 3000 Model 300X,97.2,101.9,48.3,94.4,128.7,81.0,75.3,143.0,169.0,402.8,65.7,40.0,100.5,93.9,65.6,118.1,http://performance.netlib.org/performance/html/spec.dec3-30x.cfp92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300X 175MHz 21064}
7,153,,Digital,Digital 2100 Server A500MP,154.3,161.0,79.0,125.7,145.9,111.4,133.2,156.2,348.0,471.3,72.0,74.2,219.0,196.8,201.9,169.1,http://performance.netlib.org/performance/html/spec.dec2100.cfp92.6_94.notes.html#{Digital Equipment Corporation Digital 2100 Server A500MP 190MHz 21064}
8,153,,Digital,AlphaServer 2000 4/200,152.0,160.5,79.3,123.2,144.7,114.6,126.8,151.7,343.3,445.0,73.0,75.1,213.9,203.0,191.1,162.0,http://performance.netlib.org/performance/html/spec.dec4202.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2000 4/200 190MHz 21064}
9,154,,Digital,AlphaServer 1000 4/200,165.7,177.0,90.2,127.4,149.3,112.5,197.8,150.5,340.3,454.5,75.5,104.3,226.7,206.9,223.4,160.0,http://performance.netlib.org/performance/html/spec.dec4200.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 1000 4/200 200MHz 21064}
10,154,,Digital,DEC 3000 Model 800,179.2,187.6,93.4,133.8,154.1,123.3,220.8,164.9,373.3,498.0,76.1,114.6,257.0,210.8,259.3,178.6,http://performance.netlib.org/performance/html/spec.dec3-800.cfp92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 800 200MHz 21064}
11,155,,Digital,DEC 3000 Model 700,213.3,230.6,118.7,178.8,191.6,142.3,245.4,209.6,432.0,593.0,90.5,121.2,324.1,280.2,261.3,203.1,http://performance.netlib.org/performance/html/spec.dec3-700.cfp92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 700 225 MHz 21064A}
