spec_fp2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,168_wupwise,171_swim,172_mgrid,173_applu,177_mesa,178_galgel,179_art,183_equake,187_facerec,188_ammp,189_lucas,191_fma3d,200_sixtrack,301_apsi,link
1,26,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 4200+,0,false,1456.0,1592.0,2440.0,2183.0,1328.0,1392.0,781.0,2322.0,2916.0,1556.0,1756.0,847.0,1666.0,1427.0,672.0,998.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06863.html
2,26,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 4200+,0,false,1476.0,1610.0,2454.0,2274.0,1352.0,1410.0,788.0,2360.0,2966.0,1583.0,1767.0,855.0,1691.0,1443.0,673.0,1006.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07204.html
3,27,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 5000+,0,false,1631.0,1786.0,2797.0,2325.0,1496.0,1532.0,928.0,2593.0,3159.0,1712.0,1983.0,939.0,1806.0,1628.0,792.0,1120.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06878.html
4,27,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 5000+,0,false,1652.0,1809.0,2814.0,2431.0,1529.0,1554.0,921.0,2626.0,3214.0,1740.0,1998.0,946.0,1839.0,1647.0,792.0,1132.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07212.html
5,25,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 FX-62,0,false,1944.0,2133.0,3051.0,2758.0,1794.0,1701.0,998.0,3239.0,5064.0,1906.0,2229.0,1284.0,2052.0,1790.0,855.0,1531.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06841.html
6,25,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 FX-62,0,false,1945.0,2134.0,3052.0,2757.0,1795.0,1701.0,1000.0,3237.0,5058.0,1904.0,2228.0,1282.0,2052.0,1799.0,856.0,1531.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07196.html
7,518,2005-09-01,Acer Incorporated,Acer Altos G320,800,false,1763.0,1763.0,2474.0,2652.0,1381.0,1484.0,1317.0,3196.0,4494.0,2627.0,1829.0,1094.0,2089.0,1410.0,599.0,1187.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05016.html
8,524,2005-09-01,Acer Incorporated,Acer Altos G320,800,false,2089.0,2091.0,2912.0,2794.0,1680.0,1747.0,1661.0,3926.0,5142.0,3006.0,2181.0,1308.0,2405.0,1665.0,758.0,1448.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05017.html
9,79,2005-06-01,Acer Incorporated,Altos G5350  AMD  TM,0,false,1955.0,2119.0,2784.0,2586.0,1746.0,2099.0,2022.0,3216.0,2556.0,1674.0,2350.0,1491.0,2076.0,1641.0,832.0,1630.0,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050724-04389.html
10,76,2005-07-01,Acer Incorporated,Altos G5350  TM  246,0,false,1413.0,1526.0,2176.0,1978.0,1287.0,1245.0,758.0,2346.0,3589.0,1405.0,1585.0,960.0,1563.0,1264.0,609.0,1115.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05011.html
11,80,2005-07-01,Acer Incorporated,Altos G5350  TM  254,0,false,1753.0,1906.0,2769.0,2124.0,1640.0,1442.0,1052.0,2926.0,4272.0,1630.0,2011.0,1227.0,1769.0,1595.0,846.0,1472.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051030-05005.html
12,22,2004-10-01,Advanced Micro Devices,MSI K8N Neo2 Platinum Motherboard TM  64 FX-55,0,false,1695.0,1878.0,1915.0,2320.0,1606.0,1754.0,1575.0,2874.0,1848.0,1570.0,2004.0,1532.0,1583.0,1542.0,792.0,1661.0,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041115-03582.html
13,68,2003-07-01,Advanced Micro Devices,A4800,0,false,1070.0,1154.0,1005.0,1724.0,975.0,944.0,1341.0,1501.0,1248.0,1026.0,1246.0,948.0,1195.0,1076.0,441.0,944.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02086.html
14,68,2003-07-01,Advanced Micro Devices,A4800,0,false,1093.0,1168.0,1010.0,1745.0,1017.0,953.0,1339.0,1567.0,1260.0,1042.0,1253.0,963.0,1269.0,1081.0,445.0,1005.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02098.html
15,66,2003-07-01,Advanced Micro Devices,A4800,0,false,934.0,1012.0,944.0,1509.0,863.0,802.0,974.0,1305.0,1222.0,794.0,1055.0,891.0,1230.0,913.0,351.0,851.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02105.html
16,68,2003-07-01,Advanced Micro Devices,A4800,0,false,1122.0,1219.0,1156.0,1691.0,1062.0,921.0,1247.0,1552.0,1394.0,913.0,1279.0,1117.0,1415.0,1108.0,449.0,1058.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02109.html
17,67,2003-07-01,Advanced Micro Devices,A4800,0,false,1029.0,1120.0,1053.0,1583.0,968.0,868.0,1111.0,1446.0,1304.0,851.0,1170.0,1006.0,1327.0,1008.0,400.0,956.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02112.html
18,54,2002-12-01,Advanced Micro Devices,ASUS A7N8X  REV 1.02  Motherboard TM  XP 2700+,0,false,772.0,831.0,1124.0,1243.0,802.0,693.0,1170.0,715.0,548.0,711.0,876.0,531.0,820.0,853.0,549.0,587.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020923-01690.html
19,55,2002-12-01,Advanced Micro Devices,ASUS A7N8X  REV 1.02  Motherboard TM  XP 2800+,0,false,782.0,843.0,1146.0,1246.0,805.0,701.0,1209.0,713.0,549.0,723.0,893.0,537.0,827.0,866.0,569.0,595.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020923-01692.html
20,56,2003-02-01,Advanced Micro Devices,ASUS A7N8X Deluxe Motherboard TM  XP 3000+,0,false,776.0,869.0,1131.0,1006.0,799.0,654.0,1103.0,738.0,495.0,730.0,1008.0,587.0,853.0,850.0,538.0,705.0,http://www.spec.org/cpu2000/results/res2003q1/cpu2000-20030224-01963.html
21,57,2003-05-01,Advanced Micro Devices,ASUS A7N8X Motherboard rev. 2.0 TM  XP 3200+,0,false,873.0,982.0,1270.0,1162.0,917.0,755.0,1139.0,842.0,595.0,807.0,1179.0,667.0,1000.0,954.0,547.0,779.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030505-02155.html
22,10,2000-11-01,Advanced Micro Devices,ASUS A7V Motherboard,0,false,298.0,321.0,312.0,518.0,239.0,289.0,397.0,446.0,239.0,234.0,374.0,267.0,214.0,336.0,217.0,254.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010214-00461.html
