spec_fp2006_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,link
1,16,2007-06-01,Hewlett-Packard Company,HP BladeSystem bc2000 Blade PC,0,false,6.22,6.56,8.99,5.98,6.71,5.4,5.36,6.24,5.85,5.22,8.12,5.28,6.97,3.15,6.04,6.58,8.05,7.21,7.19,http://www.spec.org/cpu2006/results/res2008q1/cpu2006-20080102-02945.html
2,25,2006-07-01,Intel Corporation,Asus M2N32-SLI Deluxe,0,false,10.3,0.0,16.2,13.9,11.6,12.0,6.88,10.1,8.04,12.0,12.2,9.85,17.0,4.3,8.09,6.43,12.4,10.1,12.9,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060904-00078.html
3,30,2007-06-01,Hewlett-Packard Company,HP BladeSystem bc2500 Blade PC,0,false,7.92,8.36,11.4,7.81,8.27,6.93,6.78,7.95,7.3,6.87,10.0,6.66,9.09,4.13,7.57,8.42,10.1,9.24,9.28,http://www.spec.org/cpu2006/results/res2008q1/cpu2006-20080102-02948.html
4,28,2007-02-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,13.0,13.2,24.1,15.0,11.4,15.0,13.0,20.1,9.2,13.1,12.7,9.8,20.3,5.2,11.9,8.9,14.2,16.4,13.3,http://www.spec.org/cpu2006/results/res2009q3/cpu2006-20090608-07799.html
5,29,2007-09-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,13.8,14.1,25.2,15.7,11.6,15.8,13.7,21.3,10.2,13.6,14.8,10.8,21.2,5.4,12.9,9.6,14.7,17.4,14.7,http://www.spec.org/cpu2006/results/res2009q3/cpu2006-20090608-07822.html
6,42,2008-12-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,13.8,13.9,30.9,14.5,10.6,14.8,11.8,21.9,10.9,11.8,13.5,10.3,18.9,5.7,12.9,8.7,22.9,17.9,14.4,http://www.spec.org/cpu2006/results/res2009q2/cpu2006-20090608-07793.html
7,43,2008-12-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,14.3,14.4,30.5,15.7,10.5,15.8,12.7,23.1,11.1,12.7,14.4,10.5,20.3,6.1,13.1,9.3,22.2,18.2,14.1,http://www.spec.org/cpu2006/results/res2009q2/cpu2006-20090608-07789.html
8,74,2006-05-01,Sun Microsystems,Sun Fire X2100,0,false,11.6,12.4,16.3,15.5,10.5,11.0,9.21,9.83,10.2,13.4,16.2,8.92,17.2,11.4,9.23,10.9,9.03,10.2,13.6,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00060.html
9,107,2007-01-01,Hewlett-Packard Company,ProLiant BL465c,0,true,13.2,16.6,18.5,14.1,11.5,11.4,12.4,13.0,12.3,12.1,18.6,9.8,16.2,7.43,12.3,15.3,15.6,15.7,14.2,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070806-01705.html
10,108,2007-09-01,Hewlett-Packard Company,ProLiant BL465c,0,false,14.8,15.1,20.5,16.0,13.5,13.8,13.0,13.2,13.1,14.3,15.6,11.8,17.5,14.8,13.1,15.1,16.6,16.3,16.2,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070831-01933.html
