spec_int1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,008_espresso,022_li,023_eqntott,026_compress,072_sc,085_gcc,link
1,148,,Digital,AlphaStation 200 4/100,68.6,74.6,59.7,59.0,100.0,38.4,169.7,45.2,http://performance.netlib.org/performance/html/spec.dec24100.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 200 4/100 100MHz 21064}
2,149,,Digital,DEC 3000 Model 300LX,63.1,68.4,69.2,56.4,107.8,32.0,123.4,37.8,http://performance.netlib.org/performance/html/spec.dec300lx.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300LX 125MHz 21064}
3,151,,Digital,AlphaStation 400 4/166,107.5,116.8,96.6,93.4,159.4,58.1,264.9,69.6,http://performance.netlib.org/performance/html/spec.dec40466.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 400 4/166 166MHz 21064}
4,151,,Digital,AlphaStation 200 4/166,100.1,116.2,100.0,89.0,154.9,55.6,202.2,65.0,http://performance.netlib.org/performance/html/spec.dec4166.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/166 166MHz 21064}
5,151,,Digital,AXPpci 33,69.4,76.0,67.6,44.3,148.6,42.8,149.5,39.1,http://performance.netlib.org/performance/html/spec.decaxp66.cint92.6_95.notes.html#{Digital Equipment Corporation AXPpci 33 166MHz 21064}
6,152,,Digital,DEC 3000 Model 300X,82.0,90.3,93.0,74.9,137.5,40.2,158.4,49.9,http://performance.netlib.org/performance/html/spec.dec300x.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300X 175MHz 21064}
7,153,,Digital,AlphaServer 2100 4/200,117.5,131.8,115.2,95.7,189.7,65.2,233.5,82.7,http://performance.netlib.org/performance/html/spec.dec42003.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/200 190MHz 21064}
8,153,,Digital,Digital 2100 Server A500MP,118.9,126.7,115.8,98.3,189.7,68.6,237.2,80.6,http://performance.netlib.org/performance/html/spec.dec21500.cint92.6_94.notes.html#{Digital Equipment Corporation Digital 2100 Server A500MP 190MHz 21064}
9,153,,Digital,AlphaServer 2000 4/200,117.5,131.8,115.2,95.7,189.7,65.2,233.5,82.7,http://performance.netlib.org/performance/html/spec.dec42002.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2000 4/200 190MHz 21064}
10,154,,Digital,AlphaServer 1000 4/200,123.3,135.8,117.6,92.4,215.7,71.2,248.9,84.7,http://performance.netlib.org/performance/html/spec.dec42001.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 1000 4/200 200MHz 21064}
11,154,,Digital,DEC 3000 Model 800,130.1,138.4,122.0,103.5,215.7,78.0,254.5,89.7,http://performance.netlib.org/performance/html/spec.dec3-800.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 800 200MHz 21064}
12,155,,Digital,DEC 3000 Model 700,153.4,162.6,145.5,114.2,255.8,87.1,314.6,111.9,http://performance.netlib.org/performance/html/spec.dec3-700.cint92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 700 225MHz 21064A}
13,156,,Digital,Digital AlphaServer 400 4/233,141.8,161.0,143.7,110.5,207.5,71.2,362.4,95.6,http://performance.netlib.org/performance/html/spec.d44233i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 400 4/233 233MHz 21064A}
14,156,,Digital,AlphaStation 200 4/233,137.4,157.7,142.8,112.1,207.5,69.4,304.0,95.8,http://performance.netlib.org/performance/html/spec.dec2233.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/233 233MHz 21064A}
15,156,,Digital,AlphaStation 400 4/233,136.2,155.2,142.8,108.6,207.5,71.4,294.2,94.6,http://performance.netlib.org/performance/html/spec.dec4233.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 400 4/233 233MHz 21064A}
16,156,,Digital,AlphaServer 2100 4/233,163.7,177.3,151.3,122.5,239.1,89.4,411.8,117.9,http://performance.netlib.org/performance/html/spec.dec21433.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/233 233MHz 21064A}
17,157,,Digital,Digital AlphaServer 1000 4/266,178.5,197.5,168.1,120.6,289.5,100.0,435.6,126.4,http://performance.netlib.org/performance/html/spec.d14266i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000 4/266 266MHz 21064A}
18,157,,Digital,AlphaStation 250 4/266,182.6,198.6,166.9,133.0,289.5,101.8,448.5,126.4,http://performance.netlib.org/performance/html/spec.dec25466.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 250 4/266 266MHz 21064A}
19,157,,Digital,Digital AlphaServer 1000A 4/266,178.5,197.5,168.1,120.6,289.5,100.0,435.6,126.4,http://performance.netlib.org/performance/html/spec.I00286.cint92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000A 4/266 266MHz 21064A}
20,158,,Digital,DEC 3000 Model 900,178.4,189.3,170.7,127.3,305.6,101.1,365.3,131.6,http://performance.netlib.org/performance/html/spec.dec3-900.cint92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 900 275MHz 21064A}
21,158,,Digital,AlphaPC 64,189.1,206.2,172.0,137.4,305.6,106.1,462.2,129.1,http://performance.netlib.org/performance/html/spec.decpc64.cint92.9_95.notes.html#{Digital Equipment Corporation AlphaPC 64 275MHz 21064A}
22,158,,Digital,DEC 7000 Model 710,180.0,193.8,172.0,131.8,305.6,103.4,356.7,133.2,http://performance.netlib.org/performance/html/spec.dec7-710.cint92.9_94.notes.html#{Digital Equipment Corporation DEC 7000 Model 710 275MHz 21064A}
23,158,,Digital,DEC 7000 Model 710,180.0,200.5,172.0,131.8,305.6,103.4,356.7,133.2,http://performance.netlib.org/performance/html/spec.dec7710.cint92.12_94.notes.html#{Digital Equipment Corporation DEC 7000 Model 710 275MHz 21064A}
24,158,,Digital,AlphaServer 2100 4/275,176.5,200.1,170.7,127.3,297.3,98.9,365.3,129.4,http://performance.netlib.org/performance/html/spec.dec4275.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/275 275MHz 21064A}
25,158,,Digital,AlphaServer 2100 4/275,187.8,202.9,172.0,137.1,297.3,100.7,462.2,134.5,http://performance.netlib.org/performance/html/spec.dec21475.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/275 275MHz 21064A}
26,160,,Digital,Digital AXPvme230,88.7,100.1,93.0,56.1,189.7,47.7,196.1,52.6,http://performance.netlib.org/performance/html/spec.dvme230i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme230 231MHz 21066A}
27,161,,Digital,Digital AXPpci33S,91.2,100.1,87.0,60.3,196.4,53.4,199.6,52.6,http://performance.netlib.org/performance/html/spec.dpci33i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPpci33 233MHz 21066A}
28,161,,Digital,Digital EB66+,96.4,104.8,91.9,62.0,207.5,57.9,208.8,56.2,http://performance.netlib.org/performance/html/spec.deceb66.cint92.9_95.notes.html#{Digital Equipment Corporation Digital EB66+ 233MHz LCA45}
29,162,,Digital,Digital AXPvme100,44.3,50.4,44.3,29.0,85.3,24.3,103.0,27.5,http://performance.netlib.org/performance/html/spec.dvme100i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme100 99MHz 21066A}
30,163,,Digital,AlphaServer 2100 5/250,244.8,277.0,216.2,221.0,354.8,133.2,545.8,174.4,http://performance.netlib.org/performance/html/spec.dec21550.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 5/250 250MHz 21164}
31,164,,Digital,AlphaStation 600 5/266,257.1,289.0,222.5,224.2,366.7,141.3,580.8,192.3,http://performance.netlib.org/performance/html/spec.dec5266.cint92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
32,164,,Digital,AlphaStation 600 5/266,265.9,288.6,231.6,234.3,379.3,147.3,588.3,197.8,http://performance.netlib.org/performance/html/spec.dec85266.cint92.3_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
33,164,,Digital,AlphaStation 600 5/266,277.7,329.0,236.5,242.6,478.3,140.6,566.3,210.0,http://performance.netlib.org/performance/html/spec.I00245.cint92.4_96.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
34,165,,Digital,Digital AlphaServer 2100 5/300,283.6,319.3,249.5,249.4,392.9,151.4,656.5,214.1,http://performance.netlib.org/performance/html/spec.d21530i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100 5/300 291MHz 21164}
35,165,,Digital,Digital AlphaServer 2100A 5/300,283.6,319.3,249.5,249.4,392.9,151.4,656.5,214.1,http://performance.netlib.org/performance/html/spec.I00259.cint92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100A 5/300 291MHz 21164}
36,166,,Digital,AlphaServer 8200 5/300,314.4,341.4,264.0,265.4,440.0,175.3,742.6,240.5,http://performance.netlib.org/performance/html/spec.dec82500.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/300 300MHz 21164}
37,166,,Digital,AlphaServer 8400 5/300,314.4,341.4,264.0,265.4,440.0,175.3,742.6,240.5,http://performance.netlib.org/performance/html/spec.dec84500.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/300 300MHz 21164}
38,166,,Digital,AlphaStation 600 5/300,279.8,337.8,246.7,251.4,423.1,130.7,666.2,210.0,http://performance.netlib.org/performance/html/spec.dec5300.cint92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/300 300MHz 21164}
