spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
1,26,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 4200+,,false,1345.0,1421.0,1215.0,970.0,1458.0,1020.0,1393.0,1313.0,1936.0,1445.0,1546.0,2197.0,1077.0,1064.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06864.html
2,26,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 4200+,,false,1411.0,1494.0,1225.0,981.0,1522.0,1035.0,1409.0,1337.0,2667.0,1657.0,1583.0,2195.0,1070.0,1057.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07206.html
3,27,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 5000+,,false,1536.0,1623.0,1433.0,1075.0,1674.0,1083.0,1644.0,1512.0,2284.0,1687.0,1807.0,2512.0,1213.0,1176.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06880.html
4,27,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 5000+,,false,1612.0,1706.0,1444.0,1089.0,1743.0,1109.0,1661.0,1536.0,3154.0,1938.0,1848.0,2505.0,1205.0,1167.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07214.html
5,25,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 FX-62,,false,1839.0,1963.0,1550.0,1512.0,2079.0,1323.0,1804.0,1761.0,2458.0,1852.0,1978.0,2874.0,1477.0,1908.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06839.html
6,25,2006-06-01,ASUS Computer International,Asus M2N32-SLI Deluxe TM  64 FX-62,,false,1923.0,2061.0,1567.0,1515.0,2159.0,1321.0,1822.0,1780.0,3393.0,2126.0,2033.0,2850.0,1456.0,1918.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07198.html
7,518,2005-09-01,Acer Incorporated,Acer Altos G320,,false,1478.0,1478.0,1002.0,1020.0,1760.0,1837.0,1103.0,1254.0,1877.0,1788.0,1645.0,2500.0,1133.0,1521.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05014.html
8,524,2005-09-01,Acer Incorporated,Acer Altos G320,,false,1834.0,1834.0,1262.0,1255.0,2195.0,2106.0,1397.0,1569.0,2377.0,2247.0,2042.0,3074.0,1395.0,1927.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05015.html
9,76,2005-07-01,Acer Incorporated,Altos G5350  TM  246,,false,1347.0,1438.0,1114.0,1137.0,1490.0,1043.0,1318.0,1287.0,1693.0,1351.0,1435.0,2143.0,1090.0,1398.0,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05010.html
10,78,2005-12-01,Acer Incorporated,Altos G5350  TM  250,,false,1487.0,1698.0,1162.0,1067.0,1228.0,1102.0,1615.0,1505.0,2225.0,1767.0,1616.0,2371.0,1286.0,1478.0,http://www.spec.org/cpu2000/results/res2006q2/cpu2000-20060418-05875.html
