spec_int2006_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,link
1,16,2007-06-01,Hewlett-Packard Company,HP BladeSystem bc2000 Blade PC,0,false,5.75,6.38,5.53,4.38,4.45,5.74,6.1,5.9,5.67,8.22,9.21,4.84,4.21,6.7,http://www.spec.org/cpu2006/results/res2008q1/cpu2006-20080102-02943.html
2,24,2006-02-01,Advanced Micro Devices,Shuttle SN25P,0,false,10.1,0.0,13.1,9.02,8.67,6.76,14.4,10.2,12.6,13.5,19.7,7.28,7.81,5.87,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00007.html
3,25,2006-07-01,Intel Corporation,Asus M2N32-SLI Deluxe,0,false,11.4,0.0,14.4,10.4,9.98,11.5,17.0,4.62,12.8,12.8,16.0,10.9,9.79,12.4,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060904-00080.html
4,30,2007-06-01,Hewlett-Packard Company,HP BladeSystem bc2500 Blade PC,0,false,7.29,8.18,7.22,5.69,5.67,6.94,7.79,7.83,7.19,9.56,11.5,6.09,5.47,8.79,http://www.spec.org/cpu2006/results/res2008q1/cpu2006-20080102-02946.html
5,28,2007-02-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,12.9,13.7,14.2,9.3,11.6,10.2,18.1,4.5,14.2,43.8,18.9,10.8,9.6,14.2,http://www.spec.org/cpu2006/results/res2009q3/cpu2006-20090608-07798.html
6,29,2007-09-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,14.3,15.1,15.4,11.0,13.8,11.8,19.2,5.2,14.9,44.3,19.8,12.0,11.1,14.9,http://www.spec.org/cpu2006/results/res2009q3/cpu2006-20090608-07824.html
7,42,2008-12-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,13.1,13.8,13.9,10.5,12.8,9.7,15.5,5.0,13.3,45.7,21.6,10.7,9.8,13.1,http://www.spec.org/cpu2006/results/res2009q2/cpu2006-20090608-07790.html
8,43,2008-12-01,Intel Corporation,Gigabyte MA78GM-S2H Motherboard,0,true,14.2,15.0,15.1,11.5,13.9,11.1,16.8,5.4,14.6,46.2,23.2,11.6,10.8,14.2,http://www.spec.org/cpu2006/results/res2009q2/cpu2006-20090608-07788.html
9,69,2005-08-01,Advanced Micro Devices,Tyan Thunder K8E Tomcat  S2865,0,false,9.02,0.0,10.4,8.15,8.23,7.18,11.6,7.88,10.2,14.4,15.4,7.53,7.11,5.24,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00005.html
10,74,2006-05-01,Sun Microsystems,Sun Fire X2100,0,false,11.5,13.0,13.8,9.29,8.41,7.73,14.8,15.6,15.0,13.5,17.1,8.05,8.86,11.0,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00061.html
11,80,2005-10-01,Hewlett-Packard Company,ProLiant DL385,0,false,11.1,12.4,12.3,9.96,9.53,7.47,13.6,12.4,12.7,14.9,20.6,8.85,8.95,7.72,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00035.html
12,80,2005-10-01,Sun Microsystems,Sun Fire X4200,0,false,11.1,12.6,12.8,9.22,8.65,7.34,13.9,14.5,13.8,14.3,15.9,7.84,8.82,10.4,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00063.html
13,81,2005-09-01,Fujitsu Siemens Computers,CELSIUS V830  Linux 64-bit,0,false,11.9,13.3,13.2,10.5,9.89,7.86,14.6,13.4,13.9,15.4,22.2,9.49,9.59,8.42,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00024.html
14,81,2006-05-01,Sun Microsystems,Sun Fire X4200,0,false,11.6,13.3,13.7,9.65,8.96,7.44,14.7,15.4,14.7,14.6,16.9,8.05,9.21,10.9,http://www.spec.org/cpu2006/results/res2006q3/cpu2006-20060513-00068.html
15,92,2007-02-01,Advanced Micro Devices,Thunder K8QW  S4881,0,false,12.6,13.9,12.8,10.2,9.8,10.9,14.3,13.9,13.1,14.6,21.4,9.73,9.66,14.8,http://www.spec.org/cpu2006/results/res2007q2/cpu2006-20070427-00960.html
16,107,2007-01-01,Hewlett-Packard Company,ProLiant BL465c,0,false,12.7,14.0,12.7,10.3,10.0,11.2,14.1,13.9,12.8,15.2,21.1,9.96,9.75,15.2,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070806-01708.html
17,107,2007-01-01,Hewlett-Packard Company,ProLiant DL385 G2,0,false,12.6,13.9,12.7,10.3,9.87,11.2,14.0,13.8,12.5,14.9,21.3,9.89,9.73,15.1,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070723-01520.html
18,108,2007-09-01,Hewlett-Packard Company,ProLiant BL465c,0,false,14.5,15.5,12.9,11.4,10.6,14.6,14.9,19.8,14.1,27.0,21.6,10.1,10.5,14.8,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070831-01930.html
19,108,2007-09-01,Hewlett-Packard Company,ProLiant DL365,0,false,14.4,15.4,12.9,11.3,10.5,14.4,14.9,19.7,14.1,26.9,21.6,9.94,10.5,14.7,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070902-01944.html
20,108,2007-09-01,Hewlett-Packard Company,ProLiant DL385 G2,0,false,14.4,15.3,12.9,11.2,10.4,14.1,14.9,19.7,14.1,26.4,21.6,9.98,10.4,14.7,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070902-01942.html
