technology_id,manufacturer_id,name,year,technology,feature_size,channel_length,metal_layers,metal,gate_type,vdd_nom,vth,source
1,1,,2007,CMOS,0.045,0.025,,,,,,
2,1,,2006,CMOS,0.065,0.035,10,copper,,,,http://www.semiconductor.com/resources/press_releases/2006_12_05_1.asp
3,1,,2005,CMOS,0.09,0.053,,,,1.4,,
4,1,,2003,CMOS,0.13,0.07,,,,,,
5,1,,1999,CMOS,0.18,0.1,,,,,,http://en.wikipedia.org/wiki/Athlon#Athlon_.22Classic.22
6,1,,1998,CMOS,0.25,0.25,5,,,2.2,,
7,1,,1999,CMOS,0.25,0.25,6,copper,,1.8,,
8,1,,1997,CMOS,0.35,0.35,5,,,3.3,,
9,1,,1993,CMOS,0.5,0.5,3,,,,,
10,1,,1991,CMOS,0.8,0.8,,,,,,http://www.cpu-world.com/CPUs/80386/AMD-NG80386DX-40.html
11,1,CS44E-mod,1999,CMOS,0.25,0.25,6,aluminum,,1.6,,http://en.wikipedia.org/wiki/Athlon#Athlon_.22Classic.22
12,2,,1992,CMOS,0.65,0.65,2,,,5.0,,http://en.wikipedia.org/wiki/HyperSPARC#Physical
13,2,,1989,CMOS,0.8,0.8,2,,,5.0,,
14,3,CMOS-4,1992,CMOS,0.75,0.75,3,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Fabrication
15,3,CMOS-4S,1993,CMOS,0.675,0.675,3,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Fabrication
16,3,CMOS-5,1993,CMOS,0.5,0.5,4,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Alpha_21064A
17,3,CMOS-6,1995,CMOS,0.35,0.35,4,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21164#Alpha_21164_.28EV56.29
18,3,CMOS-6,1996,CMOS,0.35,0.35,6,,,3.3,,http://alasir.com/articles/alpha_history/alpha_21264.html
19,4,,1994,CMOS,0.5,0.5,3,,,3.3,,
20,4,CS-55,1995,CMOS,0.4,0.4,4,,,3.3,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
21,4,CS-60,1996,CMOS,0.35,0.35,5,,,,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
22,4,CS-60ALE,1996,CMOS,0.35,0.35,4,,,3.3,,http://en.wikipedia.org/wiki/TurboSPARC
23,4,CS-70,1997,CMOS,0.24,0.24,5,,,2.5,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
24,4,CS-80,2000,CMOS,0.18,,6,copper,,1.8,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
25,4,CS-85,2002,CMOS,0.15,,6,copper,,1.5,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
26,4,CS-100,2005,CMOS,0.09,,,,,,,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
27,4,CS-200,2008,CMOS,0.065,0.03,11,copper,,,,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf
28,5,,1994,BICMOS,0.5,0.5,4,aluminum,,3.3,,http://www.openpa.net/pa-risc_processor_hitachi-harp-1.html
29,6,CMOS14A,1995,CMOS,0.55,0.55,3,,,4.4,,http://www.openpa.net/pa-risc_processor_pa-7200.html
30,6,CMOS14C,1996,CMOS,0.5,0.5,4,,,3.3,,http://www.openpa.net/pa-risc_processor_pa-7300lc.html
31,6,CMOS14C,1996,CMOS,0.5,0.5,5,aluminum,,3.3,,http://en.wikipedia.org/wiki/PA-8000#Physical
32,6,CMOS26B,1994,CMOS,0.75,0.75,3,aluminum,,,,http://www.openpa.net/pa-risc_processor_pa-7100lc.html
33,6,CMOS26B,1992,CMOS,0.8,0.8,3,,,5.0,,http://www.openpa.net/pa-risc_processor_pa-7100.html
